'Line#,Adult,Airline,Arrival,Departure,FlightClassCode,AdultFare,ChildFare,AgencyCommission,ChildCommission,GrandTotal'
'Line# 0,1,S1,KATHMANDU,BIRATNAGAR,S,2800.0,2800.0,500,500,2801.0'
'Line# 1,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 2,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 3,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 4,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 5,1,SHA,KATHMANDU,BIRATNAGAR,T,2800.0,2800.0,400,400,2801.0'
'Line# 6,1,S1,KATHMANDU,BIRATNAGAR,S,2800.0,2800.0,500,500,2801.0'
'Line# 7,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 8,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 9,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 10,1,YT,KATHMANDU,BIRATNAGAR,E2,3000.0,2800.0,400,373.3,3001.0'
'Line# 11,1,U4,KATHMANDU,BIRATNAGAR,E,3300.0,3300.0,400,400,3301.0'
'Line# 12,1,U4,KATHMANDU,BIRATNAGAR,E,3300.0,3300.0,350,350,3301.0'
'Line# 13,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 14,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 15,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 16,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 17,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 18,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 19,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 0,1,SHA,KATHMANDU,BHAIRAHAWA,T,3300.0,3300.0,500,500,3301.0'
'Line# 1,1,U4,KATHMANDU,BHAIRAHAWA,E,3300.0,3300.0,300,300,3301.0'
'Line# 2,1,S1,KATHMANDU,BHAIRAHAWA,S,3300.0,3300.0,400,400,3301.0'
'Line# 3,1,U4,KATHMANDU,BHAIRAHAWA,E,3300.0,3300.0,300,300,3301.0'
'Line# 4,1,YT,KATHMANDU,BHAIRAHAWA,E2,3500.0,3300.0,300,282.8,3501.0'
'Line# 5,1,YT,KATHMANDU,BHAIRAHAWA,E2,3500.0,3300.0,300,282.8,3501.0'
'Line# 6,1,YT,KATHMANDU,BHAIRAHAWA,E2,3500.0,3300.0,300,282.8,3501.0'
'Line# 7,1,S1,KATHMANDU,BHAIRAHAWA,S,3900.0,3900.0,400,400,3901.0'
'Line# 8,1,YT,KATHMANDU,BHAIRAHAWA,H,4100.0,1945.0,300,142.3,4101.0'
'Line# 9,1,YT,KATHMANDU,BHAIRAHAWA,H,4100.0,1945.0,300,142.3,4101.0'
'Line# 10,1,YT,KATHMANDU,BHAIRAHAWA,H,4100.0,1945.0,300,142.3,4101.0'
'Line# 11,1,U4,KATHMANDU,BHAIRAHAWA,C,2245.0,2245.0,179.6,179.6,4201.0'
'Line# 12,1,U4,KATHMANDU,BHAIRAHAWA,C,2245.0,2245.0,179.6,179.6,4201.0'
'Line# 13,1,U4,KATHMANDU,BHAIRAHAWA,C,2245.0,2245.0,179.6,179.6,4201.0'
'Line# 14,1,S1,KATHMANDU,BHAIRAHAWA,R,2345.0,2345.0,349.87,349.8,4301.0'
'Line# 15,1,SHA,KATHMANDU,BHAIRAHAWA,S,2345.0,2345.0,225.12,225.1,4301.0'
'Line# 16,1,S1,KATHMANDU,BHAIRAHAWA,R,2345.0,2345.0,349.87,349.8,4301.0'
'Line# 17,1,YT,KATHMANDU,BHAIRAHAWA,S,4400.0,1945.0,320,141.4,4401.0'
'Line# 18,1,YT,KATHMANDU,BHAIRAHAWA,S,4400.0,1945.0,320,141.4,4401.0'
'Line# 19,1,YT,KATHMANDU,BHAIRAHAWA,S,4400.0,1945.0,320,141.4,4401.0'
'Line# 0,1,U4,KATHMANDU,BHADRAPUR,E,4300.0,4300.0,400,400,4301.0'
'Line# 1,1,SHA,KATHMANDU,BHADRAPUR,T,4300.0,4300.0,500,500,4301.0'
'Line# 2,1,S1,KATHMANDU,BHADRAPUR,S,4300.0,4300.0,400,400,4301.0'
'Line# 3,1,SHA,KATHMANDU,BHADRAPUR,T,4300.0,4300.0,500,500,4301.0'
'Line# 4,1,U4,KATHMANDU,BHADRAPUR,E,4300.0,4300.0,400,400,4301.0'
'Line# 5,1,YT,KATHMANDU,BHADRAPUR,E2,4300.0,4100.0,400,381.3,4301.0'
'Line# 6,1,YT,KATHMANDU,BHADRAPUR,E2,4500.0,4300.0,400,382.2,4501.0'
'Line# 7,1,YT,KATHMANDU,BHADRAPUR,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 8,1,YT,KATHMANDU,BHADRAPUR,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 9,1,U4,KATHMANDU,BHADRAPUR,C,2450.0,2450.0,196,196,5301.0'
'Line# 10,1,U4,KATHMANDU,BHADRAPUR,C,2450.0,2450.0,196,196,5301.0'
'Line# 11,1,YT,KATHMANDU,BHADRAPUR,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 12,1,SHA,KATHMANDU,BHADRAPUR,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 13,1,S1,KATHMANDU,BHADRAPUR,R,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 14,1,SHA,KATHMANDU,BHADRAPUR,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 15,1,YT,KATHMANDU,BHADRAPUR,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 16,1,U4,KATHMANDU,BHADRAPUR,D,2750.0,2750.0,220,220,5601.0'
'Line# 17,1,U4,KATHMANDU,BHADRAPUR,D,2750.0,2750.0,220,220,5601.0'
'Line# 18,1,SHA,KATHMANDU,BHADRAPUR,E,2950.0,2950.0,449.88,449.8,5801.0'
'Line# 19,1,S1,KATHMANDU,BHADRAPUR,Q,2950.0,2950.0,449.88,449.8,5801.0'
