'Line#,Adult,Airline,Arrival,Departure,FlightClassCode,AdultFare,ChildFare,AgencyCommission,ChildCommission,GrandTotal'
'Line# 0,1,SHA,BHADRAPUR,KATHMANDU,T,3800.0,3800.0,400,400,3801.0'
'Line# 1,1,U4,BHADRAPUR,KATHMANDU,E,3800.0,3800.0,400,400,3801.0'
'Line# 2,1,S1,BHADRAPUR,KATHMANDU,S,3800.0,3800.0,400,400,3801.0'
'Line# 3,1,SHA,BHADRAPUR,KATHMANDU,T,3800.0,3800.0,400,400,3801.0'
'Line# 4,1,U4,BHADRAPUR,KATHMANDU,E,3800.0,3800.0,400,400,3801.0'
'Line# 5,1,YT,BHADRAPUR,KATHMANDU,E2,4000.0,3800.0,400,380,4001.0'
'Line# 6,1,YT,BHADRAPUR,KATHMANDU,E2,4000.0,3800.0,400,380,4001.0'
'Line# 7,1,YT,BHADRAPUR,KATHMANDU,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 8,1,YT,BHADRAPUR,KATHMANDU,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 9,1,U4,BHADRAPUR,KATHMANDU,C,2450.0,2450.0,196,196,5301.0'
'Line# 10,1,U4,BHADRAPUR,KATHMANDU,C,2450.0,2450.0,196,196,5301.0'
'Line# 11,1,YT,BHADRAPUR,KATHMANDU,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 12,1,SHA,BHADRAPUR,KATHMANDU,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 13,1,S1,BHADRAPUR,KATHMANDU,R,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 14,1,SHA,BHADRAPUR,KATHMANDU,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 15,1,YT,BHADRAPUR,KATHMANDU,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 16,1,U4,BHADRAPUR,KATHMANDU,D,2750.0,2750.0,220,220,5601.0'
'Line# 17,1,U4,BHADRAPUR,KATHMANDU,D,2750.0,2750.0,220,220,5601.0'
'Line# 18,1,SHA,BHADRAPUR,KATHMANDU,E,2950.0,2950.0,449.88,449.8,5801.0'
'Line# 19,1,S1,BHADRAPUR,KATHMANDU,Q,2950.0,2950.0,449.88,449.8,5801.0'
'Line# 0,1,U4,BIRATNAGAR,KATHMANDU,E,2000.0,2000.0,300,300,2001.0'
'Line# 1,1,S1,BIRATNAGAR,KATHMANDU,S,2300.0,2300.0,400,400,2301.0'
'Line# 2,1,U4,BIRATNAGAR,KATHMANDU,E,2300.0,2300.0,350,350,2301.0'
'Line# 3,1,SHA,BIRATNAGAR,KATHMANDU,T,2300.0,2300.0,500,500,2301.0'
'Line# 4,1,SHA,BIRATNAGAR,KATHMANDU,T,2300.0,2300.0,500,500,2301.0'
'Line# 5,1,U4,BIRATNAGAR,KATHMANDU,E,2400.0,2400.0,350,350,2401.0'
'Line# 6,1,YT,BIRATNAGAR,KATHMANDU,E2,2500.0,2300.0,400,368,2501.0'
'Line# 7,1,U4,BIRATNAGAR,KATHMANDU,E,2500.0,2500.0,350,350,2501.0'
'Line# 8,1,S1,BIRATNAGAR,KATHMANDU,S,2500.0,2500.0,400,400,2501.0'
'Line# 9,1,YT,BIRATNAGAR,KATHMANDU,E2,2600.0,2400.0,400,369.2,2601.0'
'Line# 10,1,YT,BIRATNAGAR,KATHMANDU,E2,2800.0,2600.0,400,371.4,2801.0'
'Line# 11,1,U4,BIRATNAGAR,KATHMANDU,E,3300.0,3300.0,350,350,3301.0'
'Line# 12,1,YT,BIRATNAGAR,KATHMANDU,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 13,1,YT,BIRATNAGAR,KATHMANDU,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 14,1,YT,BIRATNAGAR,KATHMANDU,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 15,1,U4,BIRATNAGAR,KATHMANDU,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 16,1,U4,BIRATNAGAR,KATHMANDU,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 17,1,U4,BIRATNAGAR,KATHMANDU,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 18,1,U4,BIRATNAGAR,KATHMANDU,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 19,1,U4,BIRATNAGAR,KATHMANDU,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 0,1,U4,KATHMANDU,BHADRAPUR,E,3400.0,3400.0,400,400,3401.0'
'Line# 1,1,SHA,KATHMANDU,BHADRAPUR,T,3400.0,3400.0,500,500,3401.0'
'Line# 2,1,S1,KATHMANDU,BHADRAPUR,S,3600.0,3600.0,400,400,3601.0'
'Line# 3,1,SHA,KATHMANDU,BHADRAPUR,T,3800.0,3800.0,500,500,3801.0'
'Line# 4,1,U4,KATHMANDU,BHADRAPUR,E,3800.0,3800.0,400,400,3801.0'
'Line# 5,1,YT,KATHMANDU,BHADRAPUR,E2,3800.0,3600.0,400,378.9,3801.0'
'Line# 6,1,YT,KATHMANDU,BHADRAPUR,E2,4000.0,3800.0,400,380,4001.0'
'Line# 7,1,YT,KATHMANDU,BHADRAPUR,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 8,1,YT,KATHMANDU,BHADRAPUR,H,5200.0,2150.0,200,82.69,5201.0'
'Line# 9,1,U4,KATHMANDU,BHADRAPUR,C,2450.0,2450.0,196,196,5301.0'
'Line# 10,1,U4,KATHMANDU,BHADRAPUR,C,2450.0,2450.0,196,196,5301.0'
'Line# 11,1,YT,KATHMANDU,BHADRAPUR,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 12,1,SHA,KATHMANDU,BHADRAPUR,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 13,1,S1,KATHMANDU,BHADRAPUR,R,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 14,1,SHA,KATHMANDU,BHADRAPUR,S,2650.0,2650.0,399.89,399.8,5501.0'
'Line# 15,1,YT,KATHMANDU,BHADRAPUR,S,5500.0,2150.0,270,105.5,5501.0'
'Line# 16,1,U4,KATHMANDU,BHADRAPUR,D,2750.0,2750.0,220,220,5601.0'
'Line# 17,1,U4,KATHMANDU,BHADRAPUR,D,2750.0,2750.0,220,220,5601.0'
'Line# 18,1,SHA,KATHMANDU,BHADRAPUR,E,2950.0,2950.0,449.88,449.8,5801.0'
'Line# 19,1,S1,KATHMANDU,BHADRAPUR,Q,2950.0,2950.0,449.88,449.8,5801.0'
'Line# 0,1,U4,KATHMANDU,BIRATNAGAR,E,2300.0,2300.0,350,350,2301.0'
'Line# 1,1,S1,KATHMANDU,BIRATNAGAR,S,2400.0,2400.0,400,400,2401.0'
'Line# 2,1,U4,KATHMANDU,BIRATNAGAR,E,2400.0,2400.0,350,350,2401.0'
'Line# 3,1,SHA,KATHMANDU,BIRATNAGAR,T,2400.0,2400.0,400,400,2401.0'
'Line# 4,1,S1,KATHMANDU,BIRATNAGAR,S,2400.0,2400.0,400,400,2401.0'
'Line# 5,1,U4,KATHMANDU,BIRATNAGAR,E,2400.0,2400.0,350,350,2401.0'
'Line# 6,1,SHA,KATHMANDU,BIRATNAGAR,T,2500.0,2500.0,400,400,2501.0'
'Line# 7,1,YT,KATHMANDU,BIRATNAGAR,E2,2600.0,2400.0,400,369.2,2601.0'
'Line# 8,1,YT,KATHMANDU,BIRATNAGAR,E2,2600.0,2400.0,400,369.2,2601.0'
'Line# 9,1,YT,KATHMANDU,BIRATNAGAR,E2,2600.0,2400.0,400,369.2,2601.0'
'Line# 10,1,U4,KATHMANDU,BIRATNAGAR,E,2800.0,2800.0,350,350,2801.0'
'Line# 11,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 12,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 13,1,YT,KATHMANDU,BIRATNAGAR,H,4500.0,2020.0,400,179.5,4501.0'
'Line# 14,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 15,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 16,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 17,1,U4,KATHMANDU,BIRATNAGAR,C,2370.0,2370.0,189.6,189.6,4651.0'
'Line# 18,1,S1,KATHMANDU,BIRATNAGAR,R,2520.0,2520.0,399.92,399.9,4801.0'
'Line# 19,1,SHA,KATHMANDU,BIRATNAGAR,S,2520.0,2520.0,349.78,349.7,4801.0'
